Subject Code,Shot Number,Shot Type (2) / (3),Miss (0) /Made (1),Position,Height,Body Mass,Peak Braking Force,Peak Braking Power,Peak Propulsive Force,Peak Propulsive Power,Left Leg / Peak Propulsive Force,Right Leg / Peak Propulsive Force,Jump Height,Braking Duration,Propulsive Duration,Displacement Depth,Force at Min Displacement
4,6,2,0,,,,1616,706,2305,3217,1263,1044,7.7,0.334,0.344,14.8,1605
4,7,2,1,,,,1530,643,2139,2667,1112,1028,4.7,0.435,0.352,18.9,1530
4,8,2,0,,,,1648,704,2294,3131,1244,1056,7.8,0.370,0.323,19.1,1603
4,9,2,0,,,,1614,854,2156,2915,1241,953,7.9,0.376,0.310,20.9,1614
4,10,2,1,,,,1587,579,2240,3621,1148,1116,8.0,0.305,0.367,3.3,1587
4,1,3,0,,,,1556,743,2433,3442,1360,1085,10.4,0.363,0.298,20.0,1555
4,2,3,1,,,,1539,410,2323,3422,1292,1040,6.9,0.255,0.365,0.3,1539
4,3,3,0,,,,1576,687,2284,2869,1327,1052,7.1,0.385,0.289,38.5,1576
4,4,3,0,,,,1552,664,2355,3283,1321,1054,8.4,0.376,0.306,18.7,1552
4,5,3,1,,,,1582,624,2401,3733,1329,1166,12.4,0.350,0.292,17.2,1582
4,6,3,0,,,,1563,393,2376,4493,1270,1109,11.0,0.244,0.398,21.4,1563
4,7,3,1,,,,1825,1174,2294,2164,1192,1106,7.1,0.536,0.226,80.9,1825
4,8,3,0,,,,1831,878,2317,2748,1331,1101,9.6,0.427,0.242,57.6,1831
4,9,3,1,,,,1612,730,2351,3221,1314,1192,9.8,0.377,0.293,28.7,1609
4,10,3,0,,,,1538,490,2353,3677,1317,1114,8.8,0.308,0.359,6.4,1531
5,1,2,0,Small Forward,198,94.79,1363,-0.14,1917,2768,1043,888,11.0,0.313,0.317,38.5,1310
5,2,2,1,,,,1254,561,1697,1991,950,769,6.7,0.392,0.306,34.4,1254
5,3,2,1,,,,1413,840,1846,2218,958,936,8.6,0.351,0.288,47.5,1413
5,4,2,0,,,,1291,539,1657,2300,892,832,7.1,0.589,0.350,24.0,1195
5,5,2,1,,,,999,61,1720,3785,948,801,7.5,0.177,2.604,1.9,999
5,6,2,0,,,,1262,359,1497,1718,892,663,4.0,0.608,0.366,14.9,1255
5,7,2,0,,,,1239,153,1725,3525,988,948,9.1,2.375,0.467,45.6,1239
5,8,2,1,,,,1425,667,1734,2362,927,826,9.0,0.371,0.339,17.7,1425
5,9,2,1,,,,1289,502,1815,2571,951,875,8.6,0.418,0.353,13.7,1289
5,10,2,1,,,,1266,519,1788,2468,901,899,7.9,0.296,0.358,14.6,1265
5,1,3,0,,,,1332,532,1891,3219,958,942,12.4,1.695,0.363,16.5,1324
5,2,3,1,,,,1569,756,1966,2802,1072,939,14.1,0.408,0.275,57.4,1569
5,3,3,1,,,,1221,300,1936,3753,1046,984,13.0,1.932,0.418,16.2,1186
5,4,3,0,,,,1278,223,1916,3918,1014,910,13.8,2.069,0.401,17.2,1278
5,5,3,0,,,,1731,1942,1944,1018,981,974,15.0,0.485,0.139,184.8,1731
5,6,3,1,,,,1413,569,1780,3071,950,853,11.8,0.820,0.342,15.6,1413
5,7,3,1,,,,1438,535,1870,3176,1020,850,13.4,0.897,0.340,18.7,1438
5,8,3,0,,,,1339,367,1905,3275,1040,940,10.5,1.703,0.420,8.9,1339
5,9,3,1,,,,1465,725,1939,2732,982,965,13.2,0.304,0.283,58.8,1465
5,10,3,1,,,,1322,474,1922,2937,1007,916,12.7,0.286,0.324,14.2,1317
6,1,2,0,Shooting Guard,196,82.95,1294,145,1742,2242,953,806,5.5,0.904,0.270,3.2,1294
6,2,2,0,,,,1023,118,1855,2852,949,922,8.2,0.166,0.690,8.7,1023
6,3,2,1,,,,827,15,1810,2888,969,853,7.9,0.077,2.713,0.2,817
6,4,2,1,,,,1039,242,1711,2100,916,797,5.5,0.674,0.289,8.4,1039
6,5,2,1,,,,1032,160,1676,2105,811,891,4.2,0.623,0.309,3.3,1032
6,6,2,1,,,,1026,209,1744,2456,926,861,6.1,0.210,0.732,5.8,1019
6,7,2,1,,,,1205,141,1676,2016,840,851,4.2,0.159,0.288,2.9,1205
6,8,2,1,,,,989,74,1678,2128,901,857,3.8,0.590,0.316,0.0,989
6,9,2,1,,,,1026,295,1667,1958,864,830,5.1,0.703,0.296,11.4,1026
6,10,2,1,,,,1044,303,1652,2002,891,835,5.1,0.680,0.327,9.4,906
6,1,3,1,,,,1614,373,1973,2623,1055,982,11.4,0.195,0.215,23.8,1614
6,2,3,1,,,,1409,200,1970,2880,1076,941,11.3,0.103,0.241,11.3,1409
6,3,3,0,,,,1137,61,2026,3239,1085,979,10.8,0.575,0.261,6.1,1137
6,4,3,1,,,,1522,285,1967,2755,1063,942,11.6,0.592,0.235,14.9,1522
6,5,3,0,,,,1420,189,2023,2968,1093,966,11.9,0.173,0.236,8.6,1420
6,6,3,0,,,,1284,184,2049,3051,1106,980,12.1,0.170,0.243,6.2,1284
6,7,3,0,,,,965,97,2027,3288,1123,953,12.8,0.479,0.268,2.0,964
6,8,3,1,,,,1308,132,2050,3172,1109,973,12.6,0.734,0.242,4.3,1308
6,9,3,1,,,,1374,209,1997,2935,1047,970,12.6,0.605,0.241,13.8,1374
6,10,3,0,,,,1029,38,2084,3531,1082,1018,13.3,2.680,0.275,8.1,1029
7,1,2,1,Power Forward,201,93.51,1713,219,2468,3138,1086,1401,7.3,0.392,0.217,1.8,1713
7,2,2,1,,,,1926,404,2255,2317,1072,1190,5.9,0.143,0.227,13.7,1926
7,3,2,0,,,,1748,220,2529,2807,1217,1314,6.6,0.111,0.214,6.0,1748
7,4,2,1,,,,1531,149,2440,3058,1144,1303,6.6,2.498,0.222,5.7,1531
7,5,2,0,,,,1048,318,2577,3677,1278,1299,7.3,2.740,0.264,14.8,1006
7,6,2,1,,,,1882,326,2481,2823,1144,1352,7.3,0.339,0.210,9.3,1882
7,7,2,0,,,,2080,432,2550,2819,1208,1342,7.5,0.134,0.206,10.5,2080
7,8,2,1,,,,1751,239,2434,2914,1169,1268,6.9,1.523,0.222,5.9,1751
7,9,2,1,,,,1545,151,2469,3334,1120,1350,7.9,2.610,0.232,6.3,1545
7,10,2,1,,,,2003,405,2487,2709,1220,1267,7.9,0.396,0.203,25.4,2003
7,1,3,0,,,,2325,596,2856,3572,1402,1467,14.1,0.123,0.183,18.3,2325
7,2,3,0,,,,2643,919,2914,3218,1450,1469,14.1,0.127,0.169,57.0,2643
7,3,3,0,,,,2100,378,2910,4535,1423,1513,15.3,1.757,0.205,18.9,2100
7,4,3,1,,,,2338,577,2909,3822,1450,1463,13.9,0.141,0.192,12.0,2338
7,5,3,1,,,,2361,611,2798,3563,1356,1443,12.6,0.116,0.190,14.5,2361
7,6,3,1,,,,2192,478,2808,3696,1454,1357,14.1,0.108,0.196,13.7,2192
7,7,3,1,,,,2086,398,2784,3756,1439,1350,12.9,0.119,0.198,12.3,2086
7,8,3,0,,,,2331,538,2794,3448,1388,1406,12.8,0.114,0.188,16.0,2331
7,9,3,1,,,,2485,707,2741,3257,1347,1398,12.4,0.134,0.182,38.7,2485
7,10,3,0,,,,2116,424,2731,3592,1403,1333,12.9,0.125,0.204,13.0,2116
8,1,2,1,Shooting Guard,189,93.99,1317,209,1852,2236,984,884,2.5,0.392,0.299,6.5,1317
8,2,2,0,,,,1549,609,1799,1981,973,861,3.4,0.365,0.277,16.1,1549
8,3,2,0,,,,1609,424,1887,2012,974,921,3.1,0.231,0.258,17.0,1609
8,4,2,1,,,,1606,669,1853,2053,991,862,4.3,0.394,0.252,18.7,1606
8,5,2,0,,,,1660,528,1930,2096,952,995,3.2,0.447,0.246,16.0,1660
8,6,2,1,,,,1495,468,1856,2027,912,969,1.6,0.271,0.285,12.1,1495
8,7,2,1,,,,1583,706,1802,1980,881,923,3.8,0.364,0.254,17.0,1583
8,8,2,0,,,,1697,587,1934,2017,989,958,2.2,0.260,0.266,15.3,1697
8,9,2,1,,,,1567,611,1776,1872,926,875,2.6,0.309,0.270,16.1,1567
8,10,2,0,,,,1700,757,1915,1964,926,989,3.1,0.382,0.249,21.1,1700
8,1,3,0,,,,1901,629,2134,2585,1097,1053,4.9,0.184,0.243,19.1,1901
8,2,3,0,,,,1838,615,2150,2554,1115,1053,4.5,0.353,0.244,17.0,1838
8,3,3,0,,,,2025,697,2259,2624,1194,1066,4.1,0.783,0.238,18.2,2025
8,4,3,0,,,,1867,650,2119,2570,1096,1033,3.5,0.245,0.252,17.4,1867
8,5,3,0,,,,2017,745,2226,2495,1102,1141,4.0,0.240,0.247,15.4,2017
8,6,3,1,,,,1932,600,2238,2636,1181,1061,4.1,0.208,0.240,14.0,1932
8,7,3,1,,,,1920,620,2213,2684,1127,1096,4.9,0.199,0.246,14.3,1920
8,8,3,1,,,,2056,830,2145,2284,1149,1002,3.6,0.239,0.240,20.7,2056
8,9,3,0,,,,1732,437,2140,2531,1095,1058,2.6,0.183,0.251,10.4,1732
8,10,3,1,,,,1872,792,2076,2435,991,1116,5.5,0.425,0.233,21.8,1872
9,1,2,1,Point guard,184,80.92,1424,542,1642,2282,866,777,5.8,0.293,0.295,17.5,1424
9,2,2,1,,,,1481,638,1610,2059,834,776,6.0,0.362,0.280,23.6,1481
9,3,2,1,,,,1467,613,1603,1950,844,760,2.3,0.289,0.306,19.8,1467
9,4,2,0,,,,1425,560,1590,1865,859,731,2.1,0.310,0.296,19.1,1425
9,5,2,1,,,,1367,543,1546,1740,814,732,1.6,0.332,0.296,21.5,1367
